Date (AAAAMMJJ);Precipitations (mm);Temperature min (C);Heure Temp min;Temperature max (C);Heure Temp max;Temperature moyenne (C);Moyenne Temp min-max (C);Amplitude thermique (C);Duree gel (min);Meteo;vacance_scolaire;Saison
20191024;0.0;11.8;6;17.5;1111;14.7;14.7;5.7;0;Gris;Oui;Automne
20191025;0.0;11.0;302;17.6;1513;13.8;14.3;6.6;0;Gris;Oui;Automne
20191026;2.4;11.4;604;21.4;1426;15.6;16.4;10.0;0;Pluie;Oui;Automne
20191027;7.6;7.8;1045;12.6;601;10.7;10.2;4.8;0;Pluie;Oui;Automne
20191028;0.4;6.8;705;15.1;1249;10.1;11.0;8.3;0;Frais;Oui;Automne
20191029;2.0;7.7;526;12.1;1330;9.8;9.9;4.4;0;Pluie;Oui;Automne
20191030;1.0;8.3;453;11.4;1448;9.6;9.9;3.1;0;Frais;Oui;Automne
20191031;4.6;8.8;148;13.0;1347;10.7;10.9;4.2;0;Pluie;Oui;Automne
20191101;8.2;10.7;2303;16.5;1753;14.0;13.6;5.8;0;Pluie;Oui;Automne
20191102;3.0;12.4;1723;14.7;1101;13.7;13.6;2.3;0;Pluie;Oui;Automne
20191103;8.8;10.9;116;13.6;1159;11.8;12.3;2.7;0;Pluie;Oui;Automne
20191104;0.0;9.9;250;15.8;1407;11.6;12.9;5.9;0;Frais;Oui;Automne
20191105;0.0;8.2;224;16.2;1334;10.2;12.2;8.0;0;Frais;Non;Automne
20191106;8.6;8.2;1819;15.1;1241;10.8;11.7;6.9;0;Pluie;Non;Automne
20191107;2.0;9.1;412;11.9;1158;9.3;10.5;2.8;0;Pluie;Non;Automne
20191108;0.0;4.7;537;12.1;1221;7.3;8.4;7.4;0;Frais;Non;Automne
20191109;4.0;4.4;557;11.2;1120;7.0;7.8;6.8;0;Pluie;Non;Automne
20191110;1.2;5.6;426;7.9;1353;6.7;6.8;2.3;0;Pluie;Non;Automne
20191111;2.8;4.9;356;10.1;1403;6.7;7.5;5.2;0;Pluie;Non;Automne
20191112;4.0;4.0;1620;10.4;1146;6.2;7.2;6.4;0;Pluie;Non;Automne
20191113;5.8;4.8;2117;11.3;1245;7.7;8.1;6.5;0;Pluie;Non;Automne
20191114;5.0;5.5;835;8.1;1411;6.3;6.8;2.6;0;Pluie;Non;Automne
20191115;19.0;1.2;1647;5.4;554;3.5;3.3;4.2;0;Pluie;Non;Automne
20191116;0.0;1.3;1801;6.9;1451;6.0;4.1;5.6;0;Frais;Non;Automne
20191117;0.0;5.4;621;10.9;1205;6.9;8.2;5.5;0;Frais;Non;Automne
20191118;2.6;4.7;113;8.5;1356;6.9;6.6;3.8;0;Pluie;Non;Automne
20191119;0.0;4.1;223;11.9;1356;7.2;8.0;7.8;0;Frais;Non;Automne
20191120;0.0;0.6;502;9.4;1355;3.9;5.0;8.8;0;Froid;Non;Automne
20191121;0.2;1.1;219;11.3;1318;6.5;6.2;10.2;0;Frais;Non;Automne
20191122;3.8;6.1;659;13.4;1332;9.5;9.8;7.3;0;Pluie;Non;Automne
20191123;3.2;9.1;25;11.6;1047;9.7;10.4;2.5;0;Pluie;Non;Automne
20191124;0.0;7.6;1723;13.5;1117;9.8;10.6;5.9;0;Frais;Non;Automne
20191125;0.2;8.5;1801;13.8;1258;10.6;11.2;5.3;0;Frais;Non;Automne
20191126;13.2;10.8;1801;13.3;1421;11.9;12.1;2.5;0;Pluie;Non;Automne
20191127;1.6;10.9;953;12.7;1526;11.7;11.8;1.8;0;Pluie;Non;Automne
20191128;0.6;10.8;515;12.9;1142;11.5;11.9;2.1;0;Frais;Non;Automne
20191129;1.0;8.3;1655;9.9;1109;9.0;9.1;1.6;0;Frais;Non;Automne
20191130;2.4;3.9;722;9.9;1134;6.3;6.9;6.0;0;Pluie;Non;Automne
20191201;0.6;3.3;640;4.3;1412;3.8;3.8;1.0;0;Froid;Non;Automne
20191202;0.2;0.3;520;7.8;1326;3.5;4.1;7.5;0;Froid;Non;Automne
20191203;0.0;1.3;443;8.4;1211;3.9;4.9;7.1;0;Froid;Non;Automne
20191204;0.0;-0.2;632;7.2;1334;2.0;3.5;7.4;81;Froid;Non;Automne
20191205;0.2;-0.1;428;2.5;1126;0.8;1.2;2.6;205;Neige;Non;Automne
20191206;2.2;-0.2;2331;10.7;114;5.1;5.3;10.9;45;Pluie;Non;Automne
20191207;0.2;8.2;1801;11.9;1208;10.7;10.1;3.7;0;Frais;Non;Automne
20191208;12.2;10.0;1727;12.6;1148;10.7;11.3;2.6;0;Pluie;Non;Automne
20191209;6.0;6.5;554;10.9;1305;8.0;8.7;4.4;0;Pluie;Non;Automne
20191210;2.2;1.4;553;7.9;1407;5.3;4.7;6.5;0;Pluie;Non;Automne
20191211;0.8;6.9;1942;9.0;1330;7.5;8.0;2.1;0;Frais;Non;Automne
20191212;12.6;3.1;700;9.4;248;5.4;6.3;6.3;0;Pluie;Non;Automne
20191213;3.4;6.1;815;12.1;113;8.1;9.1;6.0;0;Pluie;Non;Automne
20191214;1.8;7.2;2200;11.5;1352;10.1;9.4;4.3;0;Pluie;Non;Automne
20191215;3.6;8.1;1753;10.9;1406;10.0;9.5;2.8;0;Pluie;Non;Automne
20191216;5.2;8.3;1801;11.9;501;9.9;10.1;3.6;0;Pluie;Non;Automne
20191217;0.0;9.4;2151;15.7;1316;12.0;12.6;6.3;0;Gris;Non;Automne
20191218;0.0;6.6;716;11.6;600;9.3;9.1;5.0;0;Frais;Non;Automne
20191219;12.8;10.1;2319;15.0;1438;13.1;12.6;4.9;0;Pluie;Non;Automne
20191220;2.0;9.4;1743;13.0;745;11.0;11.2;3.6;0;Pluie;Non;Automne
20191221;7.0;7.5;216;11.0;1304;9.2;9.3;3.5;0;Pluie;Oui;Automne
20191222;0.4;8.6;1836;11.2;1249;9.8;9.9;2.6;0;Frais;Oui;Hiver
20191223;3.2;8.6;1939;11.1;1346;9.9;9.9;2.5;0;Pluie;Oui;Hiver
20191224;0.0;7.9;118;13.2;1222;11.3;10.6;5.3;0;Frais;Oui;Hiver
20191225;0.0;6.3;1731;10.4;1220;8.9;8.4;4.1;0;Frais;Oui;Hiver
20191226;8.6;5.0;335;11.8;126;8.1;8.4;6.8;0;Pluie;Oui;Hiver
20191227;0.0;9.1;917;10.0;648;9.7;9.6;0.9;0;Frais;Oui;Hiver
20191228;0.0;5.9;1758;8.8;1253;7.1;7.4;2.9;0;Frais;Oui;Hiver
20191229;0.0;0.9;816;6.6;1437;3.4;3.8;5.7;0;Froid;Oui;Hiver
20191230;0.0;0.2;539;7.9;1335;3.3;4.1;7.7;0;Froid;Oui;Hiver
20191231;0.2;0.3;641;5.8;1343;2.5;3.1;5.5;0;Froid;Oui;Hiver
20200101;1.4;-0.2;122;5.9;543;2.9;2.9;6.1;44;Pluie;Oui;Hiver
20200102;0.4;4.5;2253;9.8;1355;8.0;7.2;5.3;0;Frais;Oui;Hiver
20200103;0.2;8.9;330;12.7;1159;10.1;10.8;3.8;0;Frais;Oui;Hiver
20200104;0.0;5.2;809;9.5;1317;7.5;7.4;4.3;0;Frais;Oui;Hiver
20200105;0.0;7.2;531;9.4;1219;8.0;8.3;2.2;0;Frais;Oui;Hiver
20200106;0.0;2.4;835;9.1;151;5.3;5.8;6.7;0;Frais;Oui;Hiver
20200107;0.0;5.8;1820;12.5;351;8.7;9.2;6.7;0;Frais;Non;Hiver
20200108;0.6;8.8;1801;12.8;1604;12.3;10.8;4.0;0;Gris;Non;Hiver
20200109;4.4;11.3;1633;12.9;1150;11.8;12.1;1.6;0;Pluie;Non;Hiver
20200110;0.4;7.4;1721;9.6;602;8.5;8.5;2.2;0;Frais;Non;Hiver
20200111;0.0;5.0;246;9.0;1155;6.4;7.0;4.0;0;Frais;Non;Hiver
20200112;0.0;3.8;22;9.7;1445;7.6;6.8;5.9;0;Frais;Non;Hiver
20200113;0.0;7.1;603;11.0;455;9.2;9.1;3.9;0;Frais;Non;Hiver
20200114;0.0;9.9;55;12.7;1700;11.1;11.3;2.8;0;Frais;Non;Hiver
20200115;1.6;8.9;445;13.4;1301;10.5;11.2;4.5;0;Pluie;Non;Hiver
20200116;1.6;5.2;600;14.9;1356;9.9;10.1;9.7;0;Pluie;Non;Hiver
20200117;0.4;6.8;1800;12.5;1232;9.4;9.7;5.7;0;Frais;Non;Hiver
20200118;0.0;3.9;816;10.6;1409;5.8;7.3;6.7;0;Frais;Non;Hiver
20200119;0.0;2.5;27;8.8;1229;4.8;5.7;6.3;0;Froid;Non;Hiver
20200120;0.0;1.2;625;7.5;1224;3.0;4.4;6.3;0;Froid;Non;Hiver
20200121;0.2;-0.3;650;7.2;1352;2.0;3.5;7.5;157;Froid;Non;Hiver
20200122;0.0;-2.1;717;5.1;1203;0.5;1.5;7.2;783;Froid;Non;Hiver
20200123;0.2;-1.1;634;4.5;1420;0.9;1.7;5.6;660;Neige;Non;Hiver
20200124;0.0;-1.1;349;6.0;1249;1.0;2.5;7.1;782;Froid;Non;Hiver
20200125;0.2;-1.2;27;7.0;1459;3.2;2.9;8.2;402;Froid;Non;Hiver
20200126;3.2;3.5;2159;9.6;330;6.9;6.6;6.1;0;Pluie;Non;Hiver
20200127;4.4;8.2;1852;9.7;1124;9.1;9.0;1.5;0;Pluie;Non;Hiver
20200128;1.8;5.9;943;9.1;1416;7.2;7.5;3.2;0;Pluie;Non;Hiver
20200129;0.0;5.9;2109;10.9;1309;7.9;8.4;5.0;0;Frais;Non;Hiver
20200130;2.6;4.8;445;13.9;1629;9.5;9.4;9.1;0;Pluie;Non;Hiver
20200131;3.2;11.7;604;15.0;1351;12.8;13.4;3.3;0;Pluie;Non;Hiver
20200201;10.4;11.6;932;14.7;1243;12.9;13.2;3.1;0;Pluie;Non;Hiver
20200202;11.4;11.2;2226;16.4;1257;13.5;13.8;5.2;0;Pluie;Non;Hiver
20200203;8.6;11.5;33;14.3;1743;11.9;12.9;2.8;0;Pluie;Non;Hiver
20200204;0.4;6.2;633;10.1;1151;7.8;8.2;3.9;0;Frais;Non;Hiver
20200205;0.0;6.7;142;11.5;1204;7.8;9.1;4.8;0;Frais;Non;Hiver
20200206;0.0;1.6;652;12.5;1431;6.1;7.1;10.9;0;Frais;Non;Hiver
20200207;0.0;2.4;427;12.6;1343;7.4;7.5;10.2;0;Frais;Non;Hiver
20200208;1.6;8.6;621;10.9;1045;9.5;9.8;2.3;0;Pluie;Oui;Hiver
20200209;2.8;7.7;2340;14.6;2;11.0;11.2;6.9;0;Pluie;Oui;Hiver
20200210;10.2;7.7;612;12.7;1232;10.6;10.2;5.0;0;Pluie;Oui;Hiver
20200211;1.2;5.4;554;10.3;1302;6.9;7.9;4.9;0;Pluie;Oui;Hiver
20200212;0.0;4.9;548;11.0;1355;7.3;8.0;6.1;0;Frais;Oui;Hiver
20200213;4.2;5.8;158;14.0;1243;9.3;9.9;8.2;0;Pluie;Oui;Hiver
20200214;0.0;8.9;1858;13.1;1436;10.3;11.0;4.2;0;Frais;Oui;Hiver
20200215;0.6;6.7;431;14.4;1233;10.9;10.6;7.7;0;Frais;Oui;Hiver
20200216;6.4;11.8;1841;18.7;1406;14.1;15.3;6.9;0;Pluie;Oui;Hiver
20200217;0.8;8.2;1722;14.2;1327;9.7;11.2;6.0;0;Frais;Oui;Hiver
20200218;4.6;5.0;626;12.3;1404;8.4;8.7;7.3;0;Pluie;Oui;Hiver
20200219;0.8;5.8;457;11.7;1223;8.1;8.8;5.9;0;Frais;Oui;Hiver
20200220;3.0;8.3;1801;12.3;1420;9.0;10.3;4.0;0;Pluie;Oui;Hiver
20200221;0.0;4.5;700;11.2;1253;7.7;7.9;6.7;0;Frais;Oui;Hiver
20200222;0.0;5.6;622;13.4;1631;10.2;9.5;7.8;0;Frais;Oui;Hiver
20200223;0.6;10.2;425;14.0;1530;12.1;12.1;3.8;0;Gris;Oui;Hiver
20200224;3.4;11.3;747;13.3;1640;12.0;12.3;2.0;0;Pluie;Oui;Hiver
20200225;1.6;8.1;1510;12.2;1432;8.5;10.2;4.1;0;Pluie;Non;Hiver
20200226;6.4;2.9;632;8.8;1517;5.3;5.9;5.9;0;Pluie;Non;Hiver
20200227;8.2;3.8;659;12.3;1140;6.2;8.1;8.5;0;Pluie;Non;Hiver
20200228;0.0;2.1;413;11.6;2245;6.9;6.9;9.5;0;Frais;Non;Hiver
20200229;3.4;7.1;1509;13.6;1039;9.5;10.4;6.5;0;Pluie;Non;Hiver
20200301;19.6;2.6;1553;9.7;1109;6.5;6.2;7.1;0;Pluie;Non;Hiver
20200302;5.2;5.1;1828;10.2;1358;7.1;7.7;5.1;0;Pluie;Non;Hiver
20200303;0.0;3.0;700;11.1;1330;6.4;7.1;8.1;0;Frais;Non;Hiver
20200304;4.6;4.3;645;9.4;211;6.7;6.9;5.1;0;Pluie;Non;Hiver
20200305;13.2;6.8;1801;13.8;1353;9.3;10.3;7.0;0;Pluie;Non;Hiver
20200306;0.0;6.0;21;11.6;1448;7.8;8.8;5.6;0;Frais;Non;Hiver
20200307;0.0;4.2;644;12.1;1110;8.9;8.2;7.9;0;Frais;Non;Hiver
20200308;2.6;8.1;516;12.1;1517;9.3;10.1;4.0;0;Pluie;Non;Hiver
20200309;3.6;6.4;528;13.2;1459;9.1;9.8;6.8;0;Pluie;Non;Hiver
20200310;0.0;7.5;45;15.5;1435;12.7;11.5;8.0;0;Doux;Non;Hiver
20200311;0.4;13.1;636;17.4;1107;14.8;15.3;4.3;0;Doux;Non;Hiver
20200312;0.8;9.1;734;14.7;1505;11.2;11.9;5.6;0;Frais;Non;Hiver
20200313;0.0;5.7;622;14.4;1406;9.6;10.1;8.7;0;Frais;Non;Hiver
20200314;0.2;7.3;503;11.9;1534;9.6;9.6;4.6;0;Frais;Non;Hiver
20200315;0.0;8.3;149;18.0;1544;11.8;13.2;9.7;0;Frais;Non;Hiver
20200316;0.0;7.9;649;11.9;1219;10.0;9.9;4.0;0;Frais;Non;Hiver
20200317;0.0;8.9;335;16.6;1448;11.7;12.8;7.7;0;Frais;Non;Hiver
20200318;0.0;9.5;2122;19.7;1552;14.0;14.6;10.2;0;Doux;Non;Hiver
20200319;0.0;7.6;623;22.1;1412;14.4;14.9;14.5;0;Doux;Non;Hiver
20200320;0.0;10.5;610;18.8;1333;12.7;14.7;8.3;0;Doux;Non;Printemps
20200321;0.0;6.5;602;9.2;1241;7.8;7.9;2.7;0;Frais;Non;Printemps
20200322;0.0;5.6;647;13.3;1603;8.5;9.5;7.7;0;Frais;Non;Printemps
20200323;0.0;1.9;607;14.0;1441;7.5;8.0;12.1;0;Frais;Non;Printemps
20200324;0.0;1.8;530;15.6;1416;8.2;8.7;13.8;0;Frais;Non;Printemps
20200325;0.0;1.7;558;15.1;1407;8.1;8.4;13.4;0;Frais;Non;Printemps
20200326;0.0;2.4;553;13.4;1427;7.3;7.9;11.0;0;Frais;Non;Printemps
20200327;0.0;2.9;546;16.1;1430;9.2;9.5;13.2;0;Frais;Non;Printemps
20200328;0.0;4.8;526;19.1;1336;11.0;12.0;14.3;0;Frais;Non;Printemps
20200329;0.0;4.6;550;10.8;1242;6.5;7.7;6.2;0;Frais;Non;Printemps
20200330;0.0;0.0;535;12.1;1447;5.9;6.1;12.1;8;Frais;Non;Printemps
20200331;0.0;2.2;539;14.7;1446;7.9;8.5;12.5;0;Frais;Non;Printemps
20200401;0.0;1.0;531;16.0;1456;8.2;8.5;15.0;0;Frais;Non;Printemps
20200402;0.4;2.1;528;12.7;1219;7.6;7.4;10.6;0;Frais;Non;Printemps
20200403;0.0;7.8;2217;15.5;1441;10.9;11.7;7.7;0;Frais;Non;Printemps
20200404;0.0;4.8;544;19.4;1529;12.2;12.1;14.6;0;Doux;Oui;Printemps
20200405;0.0;7.3;411;24.6;1522;15.6;16.0;17.3;0;Soleil;Oui;Printemps
20200406;2.8;11.0;524;16.9;917;13.0;14.0;5.9;0;Pluie;Oui;Printemps
20200407;0.0;10.2;525;25.5;1526;16.4;17.9;15.3;0;Soleil;Oui;Printemps
20200408;0.0;8.8;513;26.7;1458;17.2;17.8;17.9;0;Soleil;Oui;Printemps
20200409;0.0;9.4;520;27.8;1431;18.1;18.6;18.4;0;Soleil;Oui;Printemps
20200410;0.0;10.5;528;27.7;1311;18.7;19.1;17.2;0;Soleil;Oui;Printemps
20200411;0.0;12.2;526;27.7;1322;18.6;20.0;15.5;0;Soleil;Oui;Printemps
20200412;3.6;11.7;349;26.8;1216;17.3;19.3;15.1;0;Pluie;Oui;Printemps
20200413;0.0;11.4;504;19.7;1315;13.3;15.6;8.3;0;Doux;Oui;Printemps
20200414;0.0;3.1;516;16.6;1516;9.4;9.9;13.5;0;Frais;Oui;Printemps
20200415;0.0;3.9;528;21.9;1522;12.4;12.9;18.0;0;Doux;Oui;Printemps
20200416;0.4;8.8;209;26.0;1534;17.0;17.4;17.2;0;Soleil;Oui;Printemps
20200417;0.0;12.4;453;26.0;1546;18.8;19.2;13.6;0;Soleil;Oui;Printemps
20200418;0.8;15.4;419;25.0;1422;18.0;20.2;9.6;0;Soleil;Oui;Printemps
20200419;0.0;12.8;626;23.2;1401;16.3;18.0;10.4;0;Soleil;Oui;Printemps
20200420;0.0;10.5;422;23.4;1520;16.4;17.0;12.9;0;Soleil;Oui;Printemps
20200421;0.0;10.1;508;23.0;1441;15.8;16.6;12.9;0;Soleil;Non;Printemps
20200422;0.0;10.0;529;24.5;1552;17.0;17.3;14.5;0;Soleil;Non;Printemps
20200423;0.0;9.5;459;28.4;1431;18.8;19.0;18.9;0;Soleil;Non;Printemps
20200424;0.0;11.9;158;25.6;1124;18.8;18.8;13.7;0;Soleil;Non;Printemps
20200425;0.0;12.1;446;22.9;1456;16.4;17.5;10.8;0;Soleil;Non;Printemps
20200426;0.0;7.2;441;23.2;1540;15.2;15.2;16.0;0;Soleil;Non;Printemps
20200427;4.8;10.2;336;23.8;1126;16.5;17.0;13.6;0;Pluie;Non;Printemps
20200428;1.6;13.7;1800;18.9;1510;15.0;16.3;5.2;0;Pluie;Non;Printemps
20200429;9.4;10.8;330;17.3;1047;12.7;14.1;6.5;0;Pluie;Non;Printemps
20200430;5.4;9.3;419;15.4;1554;11.5;12.4;6.1;0;Pluie;Non;Printemps
20200501;0.6;9.4;423;19.0;1540;13.0;14.2;9.6;0;Doux;Non;Printemps
20200502;0.0;8.3;347;19.7;1511;13.3;14.0;11.4;0;Doux;Non;Printemps
20200503;0.2;10.0;248;22.6;1610;14.6;16.3;12.6;0;Doux;Non;Printemps
20200504;0.2;11.5;258;22.4;1353;15.9;17.0;10.9;0;Soleil;Non;Printemps
20200505;1.6;10.9;548;16.7;1454;13.2;13.8;5.8;0;Pluie;Non;Printemps
20200506;0.0;11.6;427;23.8;1516;16.5;17.7;12.2;0;Soleil;Non;Printemps
20200507;0.0;7.6;356;24.6;1616;16.8;16.1;17.0;0;Soleil;Non;Printemps
20200508;0.0;9.6;353;26.5;1603;18.6;18.1;16.9;0;Soleil;Non;Printemps
20200509;47.5;16.9;200;26.2;1328;19.0;21.6;9.3;0;Pluie;Non;Printemps
20200510;9.2;14.4;253;24.6;1438;17.1;19.5;10.2;0;Pluie;Non;Printemps
20200511;0.0;6.5;453;16.4;1512;10.3;11.5;9.9;0;Frais;Non;Printemps
20200512;0.0;4.9;411;17.6;1320;10.7;11.3;12.7;0;Frais;Non;Printemps
20200513;0.0;6.0;337;18.7;1415;11.8;12.4;12.7;0;Frais;Non;Printemps
20200514;0.0;5.3;407;18.0;1414;11.6;11.7;12.7;0;Frais;Non;Printemps
20200515;0.0;5.6;435;20.5;1524;13.3;13.1;14.9;0;Doux;Non;Printemps
20200516;0.0;6.5;422;22.1;1452;15.0;14.3;15.6;0;Doux;Non;Printemps
20200517;0.0;7.8;434;23.3;1622;16.0;15.6;15.5;0;Soleil;Non;Printemps
20200518;0.0;10.6;408;25.6;1551;17.9;18.1;15.0;0;Soleil;Non;Printemps
20200519;0.0;10.5;501;26.9;1427;18.8;18.7;16.4;0;Soleil;Non;Printemps
20200520;0.0;13.2;410;30.1;1502;21.1;21.7;16.9;0;Canicule;Non;Printemps
20200521;0.0;14.7;404;31.6;1544;23.8;23.2;16.9;0;Canicule;Non;Printemps
20200522;3.2;18.3;1758;27.1;1233;21.2;22.7;8.8;0;Pluie;Non;Printemps
20200523;0.2;11.7;616;21.6;1537;16.4;16.7;9.9;0;Soleil;Non;Printemps
20200524;0.0;10.4;406;21.8;1659;16.0;16.1;11.4;0;Soleil;Non;Printemps
20200525;0.0;10.8;415;26.2;1533;18.8;18.5;15.4;0;Soleil;Non;Printemps
20200526;0.0;12.8;434;27.6;1455;20.6;20.2;14.8;0;Chaleurs;Non;Printemps
20200527;0.0;13.7;400;28.2;1439;20.7;21.0;14.5;0;Chaleurs;Non;Printemps
20200528;0.0;12.3;437;26.4;1413;19.5;19.4;14.1;0;Soleil;Non;Printemps
20200529;0.0;12.2;409;26.8;1459;19.7;19.5;14.6;0;Soleil;Non;Printemps
20200530;0.0;12.1;420;27.5;1439;20.3;19.8;15.4;0;Chaleurs;Non;Printemps
20200531;0.0;14.1;431;25.7;1331;20.1;19.9;11.6;0;Chaleurs;Non;Printemps
20200601;0.0;13.4;425;29.0;1515;21.4;21.2;15.6;0;Chaleurs;Non;Printemps
20200602;0.0;15.1;350;31.6;1442;24.0;23.4;16.5;0;Canicule;Non;Printemps
20200603;20.7;16.6;418;28.5;1257;21.3;22.6;11.9;0;Pluie;Non;Printemps
20200604;2.4;12.4;437;18.1;1258;13.8;15.3;5.7;0;Pluie;Non;Printemps
20200605;0.2;11.6;425;19.3;1345;14.1;15.5;7.7;0;Doux;Non;Printemps
20200606;0.4;11.5;534;19.2;1518;14.8;15.4;7.7;0;Doux;Non;Printemps
20200607;0.0;10.3;418;20.1;1357;14.4;15.2;9.8;0;Doux;Non;Printemps
20200608;0.0;10.5;352;20.8;1437;14.8;15.7;10.3;0;Doux;Non;Printemps
20200609;0.2;11.6;403;21.0;1646;14.9;16.3;9.4;0;Doux;Non;Printemps
20200610;0.5;9.5;405;23.0;1429;15.8;16.3;13.5;0;Soleil;Non;Printemps
20200611;8.0;11.9;141;25.1;1305;17.9;18.5;13.2;0;Pluie;Non;Printemps
20200612;1.0;13.6;130;21.5;1554;16.9;17.6;7.9;0;Soleil;Non;Printemps
20200613;0.0;13.1;308;25.5;1317;19.0;19.3;12.4;0;Soleil;Non;Printemps
20200614;0.0;14.2;327;23.5;1419;18.3;18.9;9.3;0;Soleil;Non;Printemps
20200615;0.0;14.7;322;23.8;1252;18.3;19.3;9.1;0;Soleil;Non;Printemps
20200616;3.0;14.9;207;24.7;1418;18.7;19.8;9.8;0;Pluie;Non;Printemps
20200617;0.0;14.1;224;22.2;1529;17.9;18.2;8.1;0;Soleil;Non;Printemps
20200618;0.2;15.1;422;22.4;1100;18.3;18.8;7.3;0;Soleil;Non;Printemps
20200619;0.0;13.8;425;21.0;1255;17.8;17.4;7.2;0;Soleil;Non;Printemps
20200620;0.0;15.3;312;25.4;1324;20.3;20.4;10.1;0;Chaleurs;Non;Ete
20200621;1.6;14.3;154;23.9;1616;17.9;19.1;9.6;0;Pluie;Non;Ete
20200622;0.0;12.0;307;26.5;1605;19.1;19.3;14.5;0;Soleil;Non;Ete
20200623;0.0;13.1;414;30.9;1433;23.3;22.0;17.8;0;Canicule;Non;Ete
20200624;0.0;18.3;334;34.4;1610;26.7;26.4;16.1;0;Canicule;Non;Ete
20200625;0.0;19.3;457;35.2;1337;28.0;27.3;15.9;0;Canicule;Non;Ete
20200626;0.4;21.6;814;31.7;1356;25.9;26.7;10.1;0;Canicule;Non;Ete
20200627;0.6;18.7;519;23.4;1642;20.8;21.1;4.7;0;Chaleurs;Non;Ete
20200628;0.0;16.6;540;24.4;1647;19.6;20.5;7.8;0;Soleil;Non;Ete
20200629;0.0;15.0;509;23.8;1427;19.0;19.4;8.8;0;Soleil;Non;Ete
20200630;0.0;16.0;125;22.3;1547;19.9;19.2;6.3;0;Soleil;Non;Ete
20200701;3.0;18.6;416;23.6;1137;20.8;21.1;5.0;0;Pluie;Non;Ete
20200702;0.2;15.1;739;23.9;1431;18.5;19.5;8.8;0;Soleil;Non;Ete
20200703;0.0;13.1;416;23.5;1639;18.8;18.3;10.4;0;Soleil;Non;Ete
20200704;0.0;15.2;419;23.6;1459;19.9;19.4;8.4;0;Soleil;Oui;Ete
20200705;0.0;18.6;626;24.7;1745;20.7;21.7;6.1;0;Chaleurs;Oui;Ete
20200706;0.0;12.6;350;23.4;1242;17.6;18.0;10.8;0;Soleil;Oui;Ete
20200707;0.0;11.4;356;26.8;1642;19.5;19.1;15.4;0;Soleil;Oui;Ete
20200708;0.0;14.2;346;29.5;1537;22.2;21.9;15.3;0;Chaleurs;Oui;Ete
20200709;0.0;16.7;429;32.6;1454;24.7;24.7;15.9;0;Canicule;Oui;Ete
20200710;0.0;17.9;520;24.9;1349;19.6;21.4;7.0;0;Soleil;Oui;Ete
20200711;0.0;12.1;400;25.8;1429;19.0;19.0;13.7;0;Soleil;Oui;Ete
20200712;0.0;12.1;422;28.0;1514;20.3;20.1;15.9;0;Chaleurs;Oui;Ete
20200713;0.0;13.8;409;29.5;1523;21.9;21.7;15.7;0;Chaleurs;Oui;Ete
20200714;0.0;16.1;518;24.7;1357;19.6;20.4;8.6;0;Soleil;Oui;Ete
20200715;0.0;16.3;437;23.9;1339;19.4;20.1;7.6;0;Soleil;Oui;Ete
20200716;0.0;15.5;522;21.6;1242;18.6;18.6;6.1;0;Soleil;Oui;Ete
20200717;0.0;14.9;458;26.2;1402;20.9;20.6;11.3;0;Chaleurs;Oui;Ete
20200718;0.0;16.1;438;30.6;1551;22.3;23.4;14.5;0;Canicule;Oui;Ete
20200719;0.0;14.6;353;32.6;1601;23.7;23.6;18.0;0;Canicule;Oui;Ete
20200720;0.0;16.6;529;28.7;1512;21.4;22.7;12.1;0;Chaleurs;Oui;Ete
20200721;0.0;13.2;510;27.7;1329;20.3;20.5;14.5;0;Chaleurs;Oui;Ete
20200722;0.0;12.5;446;27.9;1501;20.4;20.2;15.4;0;Chaleurs;Oui;Ete
20200723;0.0;13.5;447;30.0;1536;22.3;21.8;16.5;0;Chaleurs;Oui;Ete
20200724;0.0;17.5;501;26.0;1608;21.4;21.8;8.5;0;Chaleurs;Oui;Ete
20200725;4.2;15.8;328;27.3;1416;21.9;21.6;11.5;0;Pluie;Oui;Ete
20200726;0.0;16.5;436;27.0;1440;21.2;21.8;10.5;0;Chaleurs;Oui;Ete
20200727;0.0;16.4;49;32.3;1536;24.5;24.4;15.9;0;Canicule;Oui;Ete
20200728;0.0;18.3;542;26.0;1539;21.1;22.2;7.7;0;Chaleurs;Oui;Ete
20200729;0.0;13.5;407;28.8;1642;20.8;21.2;15.3;0;Chaleurs;Oui;Ete
20200730;0.0;13.5;441;34.4;1525;24.6;24.0;20.9;0;Canicule;Oui;Ete
20200731;0.0;18.0;427;39.4;1237;28.3;28.7;21.4;0;Canicule;Oui;Ete
20200801;0.0;19.5;513;28.5;1419;23.6;24.0;9.0;0;Chaleurs;Oui;Ete
20200802;0.0;15.8;544;26.3;1511;20.3;21.1;10.5;0;Chaleurs;Oui;Ete
20200803;0.0;15.4;426;25.2;1524;18.9;20.3;9.8;0;Soleil;Oui;Ete
20200804;0.0;13.2;410;28.1;1618;20.5;20.7;14.9;0;Chaleurs;Oui;Ete
20200805;0.0;13.9;246;32.3;1611;23.2;23.1;18.4;0;Canicule;Oui;Ete
20200806;0.0;15.2;435;36.6;1559;26.2;25.9;21.4;0;Canicule;Oui;Ete
20200807;0.0;17.7;456;38.4;1607;28.6;28.1;20.7;0;Canicule;Oui;Ete
20200808;0.0;19.8;438;38.5;1632;29.4;29.2;18.7;0;Canicule;Oui;Ete
